"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","3","2","1","84 m²","77 m²"
"Rp 830 Juta","Jatimakmur, Bekasi","2","1","1","81 m²","39 m²"
"Rp 440 Juta","Setu, Bekasi","2","1","","60 m²","42 m²"
"Rp 2,79 Miliar","Jati Asih, Bekasi","5","4","","250 m²","252 m²"
"Rp 1,95 Miliar","Kemang Pratama, Bekasi","","","","216 m²","180 m²"
"Rp 1,8 Miliar","Jatiwaringin, Bekasi","4","1","1","143 m²","70 m²"
"Rp 895 Juta","Jatisampurna, Bekasi","","","","67 m²","60 m²"
"Rp 1,65 Miliar","Jatibening, Bekasi","5","2","1","144 m²","140 m²"
"Rp 2,79 Miliar","Jati Asih, Bekasi","5","4","","250 m²","252 m²"
"Rp 2,8 Miliar","Jatisampurna, Bekasi","4","3","","114 m²","132 m²"
"Rp 2,79 Miliar","Jati Asih, Bekasi","5","4","","250 m²","252 m²"
"Rp 3,7 Miliar","Jatisampurna, Bekasi","4","3","","170 m²","138 m²"
"Rp 2,5 Miliar","Jatisampurna, Bekasi","4","3","","104 m²","124 m²"
"Rp 2,8 Miliar","Jatisampurna, Bekasi","4","3","","114 m²","132 m²"
"Rp 1,81 Miliar","Pondokmelati, Bekasi","3","2","","84 m²","84 m²"
"Rp 1,61 Miliar","Jatisampurna, Bekasi","3","2","","84 m²","84 m²"
"Rp 2,5 Miliar","Jatisampurna, Bekasi","4","3","","154 m²","142 m²"
"Rp 2 Miliar","Jatisampurna, Bekasi","3","2","","84 m²","89 m²"
"Rp 2,39 Miliar","Jatisampurna, Bekasi","4","3","","135 m²","135 m²"
